bssamt,plnprc,bidNtceNo
,,R25BK00686960
,,R25BK00683594
,,R25BK00688873
,,R25BK00682767
,,R25BK00686416
,,R25BK00688939
,,R25BK00687827
,,R25BK00685955
40000000,40178900,R25BK00690082
,,R25BK00682853
,,R25BK00690107
,,R25BK00684461
,,R25BK00687457
,,R25BK00687492
,,R25BK00687761
,,R25BK00691319
,,R25BK00684074
,,R25BK00688267
,,R25BK00686907
,,R25BK00686666
,,R25BK00671220
,,R25BK00682209
,,R25BK00684057
,,R25BK00681962
,,R25BK00688991
,,R25BK00683014
,,R25BK00689652
,,R25BK00689230
,,R25BK00683255
,,R25BK00676621
,,R25BK00682070
,,R25BK00688802
,,R25BK00688017
,,R25BK00688571
76546000,76613625,R25BK00690827
,,R25BK00692235
,,R25BK00688468
,,R25BK00692511
,,R25BK00690761
,,R25BK00682295
,,R25BK00691111
,,R25BK00687424
,,R25BK00683456
,,R25BK00685277
,,R25BK00684406
,,R25BK00687399
,,R25BK00690224
,,R25BK00678163
,,R25BK00670144
,,R25BK00681176
,,R25BK00678704
,,R25BK00683673
,,R25BK00677421
,,R25BK00681638
,,R25BK00692012
,,R25BK00692345
,,R25BK00692501
,,R25BK00601569
,,R25BK00682043
,,R25BK00680569
,225000000,R25BK00687318
,,R25BK00687769
,,R25BK00682006
,,R25BK00687091
,,R25BK00682260
,,R25BK00690397
,,R25BK00681922
,,R25BK00691154
,,R25BK00680495
,,R25BK00683413
,,R25BK00692315
,,R25BK00679659
,,R25BK00684387
,,R25BK00687233
,,R25BK00684503
,,R25BK00684811
,,R25BK00692205
,,R25BK00683132
,,R25BK00680581
,,R25BK00686787
,,R25BK00687596
,,R25BK00682229
,,R25BK00687315
,,R25BK00683525
,,R25BK00689568
,,R25BK00687505
,,R25BK00690007
,,R25BK00682319
,,R25BK00687366
,,R25BK00687836
,,R25BK00670786
,,R25BK00692116
,,R25BK00688167
,,R25BK00682373
,,R25BK00687336
,,R25BK00682656
,,R25BK00687280
,,R25BK00689079
,,R25BK00687853
,,R25BK00681699
,,R25BK00689158
,,R25BK00684497
,,R25BK00681631
,,R25BK00687255
,,R25BK00682208
,,R25BK00687205
,,R25BK00687562
,,R25BK00682694
,,R25BK00687785
,,R25BK00682223
,,R25BK00687474
,,R25BK00691227
,,R25BK00688690
,,R25BK00682418
,,R25BK00682118
,,R25BK00682191
,,R25BK00676648
,,R25BK00666514
,,R25BK00666734
,,R25BK00658281
,,R25BK00647065
,,R25BK00648097
,,R25BK00664622
,,R25BK00683047
,,R25BK00610646
,,R25BK00648884
,,R25BK00614224
,,R25BK00631742
,,R25BK00682116
,,R25BK00682120
,48240000,R25BK00712826
,16990000,R25BK00708964
,52500000,R25BK00710469
,,R25BK00703408
37981440,37811568.02,R25BK00701517
,,R25BK00703361
,,R25BK00700065
,,R25BK00700737
,,R25BK00706757
,,R25BK00707377
53241000,52705300,R25BK00702871
115390000,116213650,R25BK00701280
55266000,55356950,R25BK00703536
137280000,136422400,R25BK00701171
,,R25BK00697912
6000000,5953175,R25BK00698709
92362000,90539275,R25BK00696846
342000,337823.33,R25BK00693811
,,R25BK00687849
,,R25BK00692808
41183218,40601875,R25BK00700987
32131000,32072150,R25BK00702453
64438000,64993175,R25BK00701116
91000000,91297825,R25BK00702759
92961000,93631750,R25BK00702432
42606660,42246150,R25BK00698165
52668000,51905175,R25BK00700546
68740000,68315575,R25BK00703258
56000000,55880750,R25BK00702978
6204000,6270875,R25BK00698956
,,R25BK00697939
41028000,40572125,R25BK00700898
89342000,90174500,R25BK00700041
52000000,52156300,R25BK00702861
46640000,46637600,R25BK00701601
,,R25BK00703068
41090000,40879050,R25BK00701024
,,R25BK00702612
38364000,38431675,R25BK00702025
51937000,52233500,R25BK00703422
40400000,40353275,R25BK00700786
,,R25BK00698304
42060000,41800225,R25BK00700436
,,R25BK00700873
46453000,46021725,R25BK00706786
11900000,12049950,R25BK00701845
,,R25BK00701512
102980000,102294975,R25BK00704063
37000000,36922425,R25BK00703047
33379000,33697125,R25BK00700942
36691000,36559450,R25BK00701969
14861000,14818025,R25BK00696967
,,R25BK00702189
,,R25BK00701277
31710000,32259650,R25BK00702671
,,R25BK00706265
38830000,38844700,R25BK00700905
54933000,54593700,R25BK00701780
31035000,30764750,R25BK00701323
46750470,46761825,R25BK00702508
,,R25BK00707583
28490000,28529625,R25BK00701579
59890000,59920125,R25BK00702181
9200000,9128875,R25BK00702739
92246000,92345200,R25BK00696814
40000000,39789600,R25BK00695751
,,R25BK00696719
94980000,94815225,R25BK00702250
,,R25BK00700974
79838000,79867175,R25BK00704154
31670000,31383125,R25BK00703182
,,R25BK00701934
,,R25BK00706714
174900,175161.05,R25BK00699175
,,R25BK00701928
48037000,48020925,R25BK00703116
43930000,43858875,R25BK00701968
23000000,23042200,R25BK00701081
49489000,49806400,R25BK00703694
85360000,85883300,R25BK00700309
37931400,38012350,R25BK00698550
87471000,86778500,R25BK00697607
62000000,61838075,R25BK00699252
21700000,21350250,R25BK00700702
50000000,49265375,R25BK00703033
,,R25BK00698000
30903000,30554875,R25BK00702506
73000000,73291150,R25BK00702787
39600000,39141175,R25BK00702864
32340000,32479350,R25BK00698320
55400000,55199375,R25BK00702454
42100000,41921750,R25BK00706814
40000000,40159100,R25BK00702785
29200000,29006750,R25BK00702732
,,R25BK00701771
110000000,109156850,R25BK00702948
88000000,87542200,R25BK00702222
90145000,90175475,R25BK00701516
53000000,52907175,R25BK00702811
57728000,56958825,R25BK00703934
51590000,51591225,R25BK00705958
19800000,19644700,R25BK00701491
,,R25BK00699835
27974960,28047600,R25BK00692281
55455000,55408600,R25BK00695642
31440480,31548775,R25BK00696722
47698000,47906225,R25BK00692084
109700000,109641100,R25BK00693121
25660000,25208700,R25BK00700735
,20000000,R25BK00714265
,39980000,R25BK00713258
,411200000,R25BK00708772
,319300000,R25BK00708665
,196000000,R25BK00710394
163800000,161853300,R25BK00699156
,,R25BK00682855
,,R25BK00668715
,,R25BK00688451
,,R25BK00690313
,,R25BK00691003
,,R25BK00689034
60000000,60247650,R25BK00687297
,,R25BK00691645
,,R25BK00687646
,,R25BK00690190
,,R25BK00683539
,,R25BK00682982
,,R25BK00684121
,,R25BK00689417
,,R25BK00690292
,,R25BK00683298
,,R25BK00682861
,,R25BK00682249
349741000,350628525,R25BK00680781
,,R25BK00685007
,,R25BK00669756
,,R25BK00683502
,,R25BK00681758
,,R25BK00680391
,,R25BK00686537
,,R25BK00684060
,,R25BK00683585
,,R25BK00686444
,,R25BK00682467
,,R25BK00665893
,,R25BK00663872
,,R25BK00663890
,,R25BK00663851
,,R25BK00666466
,,R25BK00666386
,,R25BK00609763
,1356300000,R25BK00715271
,21890000,R25BK00716623
,48000000,R25BK00713705
,30000000,R25BK00711252
,198126500,R25BK00713779
,49000000,R25BK00715326
,9124500,R25BK00715556
,102807000,R25BK00715077
,1118700000,R25BK00715299
,,R25BK00701589
28875000,28872250,R25BK00696434
,20000000,R25BK00714517
,2219000000,R25BK00713988
,125000,R25BK00708557
